id;activo;usuario;clave;imagen;imagen_content_type;alumno_id
1;DESHABILITADO;Partida Obligatorio Marroquinería;Desarrollador;../fake-data/blob/hipster.png;image/png;1
2;HABILITADO;Intranet Inverso;plug-and-play;../fake-data/blob/hipster.png;image/png;2
3;DESHABILITADO;Cuentas real;Guapa array;../fake-data/blob/hipster.png;image/png;3
4;DESHABILITADO;withdrawal;infomediaries;../fake-data/blob/hipster.png;image/png;4
5;HABILITADO;e-markets compress invoice;copy Plaza;../fake-data/blob/hipster.png;image/png;5
6;DESHABILITADO;Berkshire overriding Savings;Arroyo e-business Asistente;../fake-data/blob/hipster.png;image/png;6
7;DESHABILITADO;program schemas Producto;primary;../fake-data/blob/hipster.png;image/png;7
8;HABILITADO;Granito Equilibrado;Raton;../fake-data/blob/hipster.png;image/png;8
9;DESHABILITADO;transform multitarea Honduras;homogénea cliente Guapa;../fake-data/blob/hipster.png;image/png;9
10;HABILITADO;Atún;holística Mascotas;../fake-data/blob/hipster.png;image/png;10
