id;activo;codigo;teoria;practica;licencia_numero;empleado_id
1;HABILITADO;Peso A;SI;SI;Implementación;1
2;DESHABILITADO;Platin;NO;SI;mesh;2
3;DESHABILITADO;Corpor;SI;NO;Identidad end-to;3
4;HABILITADO;Vasco ;SI;SI;withdrawal Bermu;4
5;DESHABILITADO;Cambri;SI;SI;escalable Ergonó;5
6;HABILITADO;action;SI;SI;Cataluña circuit;6
7;DESHABILITADO;Zapato;NO;NO;invoice deposit ;7
8;DESHABILITADO;Música;NO;NO;THX;8
9;DESHABILITADO;Artesa;SI;SI;recontextualize;9
10;HABILITADO;Refina;SI;SI;Vía Buckinghamsh;10
